ID,Club,POS,GP,GS,A,GWA,HmA,RdA,A.90min,Timestamp
Rusty Pierce,CLB,2,18,18,0,0,0,0,0,2006
Brandon Moss,CLB,2,20,17,0,0,0,0,0,2006
Marcos Gonzalez,CLB,2,21,20,0,0,0,0,0,2006
James Riley,NE,2,20,20,0,0,0,0,0,2006
Dasan Robinson,CHI,2,23,23,0,0,0,0,0,2006
Ryan Cochrane,HOU,2,27,24,0,0,0,0,0,2006
Nick Garcia,KC,2,29,29,0,0,0,0,0,2006
Michael Parkhurst,ATL,2,30,30,0,0,0,0,0,2006
Jeff Parke,NY,2,31,31,0,0,0,0,0,2006
Brad Evans,CLB,3,4,1,1,0,1,0,0.83,2007
Markus Schopp,NY,3,5,3,1,0,0,1,0.39,2007
Taylor Graham,NY,2,5,3,1,0,1,0,0.27,2007
Wilman Conde,CHI,2,7,7,1,1,0,1,0.15,2007
Robbie Rogers,CLB,2,10,6,1,0,0,1,0.15,2007
Kelly Gray,HOU,3,15,13,1,1,1,0,0.08,2007
Hunter Freeman,NY,2,16,15,1,1,1,0,0.07,2007
Kevin Goldthwaite,HOU,2,19,17,1,0,1,0,0.06,2007
Avery John,NE,2,19,18,1,0,0,1,0.06,2007
